time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1999-12-11T02:20:54.090Z,34.61,-116.308,1.679,2.58,ml,0,66.8,,0.146,ci,ci9128429,2016-02-16T09:11:13.281Z,"18km SW of Ludlow, California",earthquake,,0.391,,136,reviewed,ci,ci
1999-12-11T00:09:56.910Z,34.5726667,-116.2643333,0.02,2.86,ml,28,52,,0.19,ci,ci9128411,2016-04-02T18:16:20.070Z,"19km SSW of Ludlow, CA",earthquake,0.35,0.76,,144,reviewed,ci,ci
1999-12-10T10:15:16.260Z,34.655,-116.286,4.429,2.9,ml,0,88.4,,0.147,ci,ci9128335,2016-02-15T23:47:11.513Z,"14km WSW of Ludlow, California",earthquake,,35.313,,174,reviewed,ci,ci
1999-12-10T08:36:42.440Z,34.589,-116.3,-1.051,3.15,ml,0,39.5,,0.166,ci,ci9128326,2016-04-02T10:33:25.272Z,"20km SW of Ludlow, CA",earthquake,,0.613,,198,reviewed,ci,ci
1999-12-10T08:19:16.390Z,34.858,-116.409,0.12,2.55,ml,0,130.5,0.06532,0.151,ci,ci9128314,2016-02-16T16:23:17.429Z,"27km NW of Ludlow, California",earthquake,,0.616,,122,reviewed,ci,ci
1999-12-10T06:31:34.900Z,34.652,-116.294,3.319,2.52,ml,0,85.9,0.1215,0.101,ci,ci9128306,2016-02-16T13:55:25.155Z,"14km WSW of Ludlow, California",earthquake,,0.914,,57,reviewed,ci,ci
1999-12-09T15:27:00.370Z,34.5793333,-116.298,0.554,2.59,ml,22,56,,0.14,ci,ci9128099,2016-04-02T12:06:23.226Z,"20km SW of Ludlow, CA",earthquake,0.33,0.79,,139,reviewed,ci,ci
1999-12-08T22:45:26.760Z,34.642,-116.322,2.048,3.87,mh,0,198.4,0.2424,0.204,ci,ci9127950,2016-04-02T16:53:19.115Z,"17km WSW of Ludlow, CA",earthquake,,1.34,,2,reviewed,ci,ci
1999-12-08T10:54:04.700Z,34.0391667,-117.2435,13.715,3.05,ml,31,87,0.1089,0.19,ci,ci3321780,2016-04-21T18:00:38.540Z,"2km ESE of Loma Linda, CA",earthquake,0.38,0.53,0.215,142,reviewed,ci,ci
1999-12-08T10:53:59.590Z,34.043,-117.247,13.974,3.11,ml,0,28.2,,0.174,ci,ci9127885,2016-04-02T07:13:27.893Z,"1km ESE of Loma Linda, CA",earthquake,,0.105,,228,reviewed,ci,ci
1999-12-08T07:35:54.740Z,34.851,-116.345,4.351,3.74,ml,0,65.9,,0.197,ci,ci9127859,2016-04-02T11:07:54.201Z,"22km NW of Ludlow, CA",earthquake,,0.152,,230,reviewed,ci,ci
1999-12-08T04:08:06.670Z,34.596,-116.274,3.049,2.59,ml,0,76.6,0.1332,0.158,ci,ci9127837,2016-02-17T07:01:15.306Z,"17km SW of Ludlow, California",earthquake,,0.551,,124,reviewed,ci,ci
